粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻,每米宽度流量
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.47,1,0.983,1.959,6,9,58.771,1.335,0.968,1.746,0,6,50,1.569,0.964,1.882,1.882,384.94,150.37,2188,128.7,1.598,1.598,135.98,5.2,-200,-11.8,3.007,3.007,520.92,155.57,2388,140.5,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,78.084,1,0.983,1.88,4,11,55.529,1.406,0.957,1.741,0,4,50,1.562,0.956,1.882,1.882,384.94,150.37,2137,125.7,1.598,1.598,127.13,3.23,-139,-8.1,3.007,3.007,512.07,153.6,2276,133.9,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,77.478,1,0.983,1.8,2,13,52.602,1.473,0.942,1.731,0,2,50,1.55,0.942,1.882,1.882,384.94,150.37,2089,122.9,1.598,1.598,118.34,1.5,-72,-4.2,3.007,3.007,503.28,151.87,2160,127.1,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.535,9.635,6.988,98.049,1.534,0.987,2.309,15,5.365,79.903,1.882,0.983,2.309,15,15,76.683,1,0.983,1.717,0,15,50,1.534,0.923,1.717,0,0,50,1.534,0.923,1.882,1.882,384.94,150.37,2042,120.1,1.598,1.598,109.68,0,0,0,3.007,3.007,494.62,150.37,2042,120.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.466,1,0.984,2.114,10,5,66.142,1.186,0.981,1.745,0,10,50,1.569,0.965,1.884,1.884,370.6,150.37,2296,135,1.597,1.597,153.59,9.92,-304,-17.9,3.007,3.007,524.19,160.29,2600,152.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.614,1,0.984,2.031,7.845,7.155,62.034,1.267,0.976,1.748,0,7.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2236,131.5,1.597,1.597,144.18,7.25,-251,-14.8,3.007,3.007,514.79,157.62,2487,146.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.48,1,0.984,1.959,6,9,58.774,1.335,0.969,1.747,0,6,50,1.57,0.966,1.884,1.884,370.6,150.37,2187,128.7,1.597,1.597,136.02,5.2,-200,-11.8,3.007,3.007,506.63,155.57,2387,140.4,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.094,1,0.984,1.881,4,11,55.531,1.406,0.958,1.741,0,4,50,1.562,0.957,1.884,1.884,370.6,150.37,2137,125.7,1.597,1.597,127.17,3.23,-139,-8.2,3.007,3.007,497.78,153.6,2275,133.8,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,77.488,1,0.984,1.8,2,13,52.603,1.473,0.943,1.731,0,2,50,1.55,0.943,1.884,1.884,370.6,150.37,2088,122.8,1.597,1.597,118.39,1.5,-72,-4.2,3.007,3.007,488.99,151.87,2160,127,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,76.693,1,0.984,1.718,0,15,50,1.534,0.924,1.718,0,0,50,1.534,0.924,1.884,1.884,370.6,150.37,2041,120.1,1.597,1.597,109.71,0,0,0,3.007,3.007,480.32,150.37,2041,120.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,78.495,1,0.986,2.115,10,5,66.158,1.186,0.983,1.746,0,10,50,1.57,0.967,1.885,1.885,370.6,150.37,2293,134.9,1.595,1.595,153.74,9.93,-304,-17.9,3.007,3.007,524.34,160.3,2598,152.8,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,78.643,1,0.986,2.032,7.845,7.155,62.045,1.268,0.978,1.749,0,7.845,50,1.573,0.971,1.885,1.885,370.6,150.37,2234,131.4,1.595,1.595,144.32,7.25,-252,-14.8,3.007,3.007,514.93,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,78.509,1,0.986,1.96,6,9,58.783,1.336,0.971,1.748,0,6,50,1.57,0.968,1.885,1.885,370.6,150.37,2185,128.5,1.595,1.595,136.16,5.2,-200,-11.8,3.007,3.007,506.76,155.58,2385,140.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,78.123,1,0.986,1.882,4,11,55.536,1.407,0.96,1.742,0,4,50,1.562,0.959,1.885,1.885,370.6,150.37,2134,125.5,1.595,1.595,127.29,3.23,-139,-8.2,3.007,3.007,497.9,153.6,2273,133.7,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,77.516,1,0.986,1.801,2,13,52.605,1.474,0.945,1.733,0,2,50,1.55,0.945,1.885,1.885,370.6,150.37,2086,122.7,1.595,1.595,118.5,1.5,-72,-4.2,3.007,3.007,489.1,151.88,2157,126.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.583,8.635,4.988,101.885,1.476,0.993,2.311,15,6.365,79.758,1.885,0.986,2.311,15,15,76.72,1,0.986,1.719,0,15,50,1.534,0.926,1.719,0,0,50,1.534,0.926,1.885,1.885,370.6,150.37,2039,119.9,1.595,1.595,109.82,0,0,0,3.007,3.007,480.42,150.37,2039,119.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.497,1,0.986,2.115,10,5,66.159,1.186,0.983,1.746,0,10,50,1.57,0.967,1.885,1.885,370.6,150.37,2293,134.9,1.595,1.595,153.75,9.93,-304,-17.9,3.007,3.007,524.35,160.3,2597,152.8,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.645,1,0.986,2.032,7.845,7.155,62.046,1.268,0.978,1.749,0,7.845,50,1.573,0.97,1.885,1.885,370.6,150.37,2234,131.4,1.595,1.595,144.33,7.25,-252,-14.8,3.007,3.007,514.93,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.511,1,0.986,1.96,6,9,58.783,1.336,0.971,1.748,0,6,50,1.57,0.968,1.885,1.885,370.6,150.37,2185,128.5,1.595,1.595,136.16,5.2,-200,-11.8,3.007,3.007,506.77,155.58,2385,140.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.124,1,0.986,1.882,4,11,55.536,1.407,0.96,1.742,0,4,50,1.562,0.959,1.885,1.885,370.6,150.37,2134,125.5,1.595,1.595,127.3,3.23,-139,-8.2,3.007,3.007,497.9,153.6,2273,133.7,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,77.518,1,0.986,1.802,2,13,52.605,1.474,0.945,1.733,0,2,50,1.55,0.945,1.885,1.885,370.6,150.37,2085,122.7,1.595,1.595,118.5,1.5,-72,-4.2,3.007,3.007,489.11,151.88,2157,126.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,76.721,1,0.986,1.719,0,15,50,1.534,0.926,1.719,0,0,50,1.534,0.926,1.885,1.885,370.6,150.37,2038,119.9,1.595,1.595,109.82,0,0,0,3.007,3.007,480.43,150.37,2038,119.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,78.472,1,0.984,2.114,10,5,66.145,1.186,0.981,1.745,0,10,50,1.569,0.964,1.883,1.883,370.6,150.37,2295,135,1.597,1.597,153.62,9.92,-304,-17.9,3.007,3.007,524.22,160.3,2599,152.9,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,78.619,1,0.984,2.031,7.845,7.155,62.036,1.267,0.976,1.748,0,7.845,50,1.572,0.968,1.883,1.883,370.6,150.37,2236,131.5,1.597,1.597,144.21,7.25,-251,-14.8,3.007,3.007,514.81,157.62,2487,146.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,78.486,1,0.984,1.959,6,9,58.776,1.335,0.969,1.747,0,6,50,1.57,0.966,1.883,1.883,370.6,150.37,2187,128.6,1.597,1.597,136.05,5.2,-200,-11.8,3.007,3.007,506.65,155.57,2387,140.4,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,78.1,1,0.984,1.881,4,11,55.532,1.406,0.958,1.741,0,4,50,1.562,0.957,1.883,1.883,370.6,150.37,2136,125.7,1.597,1.597,127.2,3.23,-139,-8.2,3.007,3.007,497.8,153.6,2275,133.8,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,77.494,1,0.984,1.8,2,13,52.603,1.473,0.943,1.732,0,2,50,1.55,0.943,1.883,1.883,370.6,150.37,2087,122.8,1.597,1.597,118.41,1.5,-72,-4.2,3.007,3.007,489.01,151.87,2159,127,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.492,10.635,6.988,94.207,1.596,0.986,2.31,15,4.365,79.857,1.883,0.984,2.31,15,15,76.698,1,0.984,1.718,0,15,50,1.534,0.924,1.718,0,0,50,1.534,0.924,1.883,1.883,370.6,150.37,2040,120,1.597,1.597,109.73,0,0,0,3.007,3.007,480.34,150.37,2040,120,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,78.458,1,0.983,2.114,10,5,66.137,1.186,0.98,1.745,0,10,50,1.569,0.964,1.883,1.883,356.76,150.37,2296,135.1,1.597,1.597,153.55,9.92,-304,-17.9,3.007,3.007,510.3,160.29,2600,152.9,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,78.606,1,0.983,2.03,7.845,7.155,62.03,1.267,0.975,1.748,0,7.845,50,1.572,0.968,1.883,1.883,356.76,150.37,2237,131.6,1.597,1.597,144.14,7.24,-251,-14.8,3.007,3.007,500.9,157.62,2488,146.4,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,78.472,1,0.983,1.959,6,9,58.772,1.335,0.968,1.746,0,6,50,1.569,0.965,1.883,1.883,356.76,150.37,2188,128.7,1.597,1.597,135.99,5.2,-200,-11.8,3.007,3.007,492.74,155.57,2388,140.5,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,78.086,1,0.983,1.88,4,11,55.529,1.406,0.957,1.741,0,4,50,1.562,0.956,1.883,1.883,356.76,150.37,2137,125.7,1.597,1.597,127.14,3.23,-139,-8.2,3.007,3.007,483.89,153.6,2276,133.9,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,77.481,1,0.983,1.8,2,13,52.602,1.473,0.942,1.731,0,2,50,1.55,0.942,1.883,1.883,356.76,150.37,2089,122.9,1.597,1.597,118.35,1.5,-72,-4.2,3.007,3.007,475.11,151.87,2160,127.1,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.629,7.635,2.988,106.203,1.416,0.995,2.309,15,7.365,79.863,1.883,0.983,2.309,15,15,76.685,1,0.983,1.717,0,15,50,1.534,0.924,1.717,0,0,50,1.534,0.924,1.883,1.883,356.76,150.37,2042,120.1,1.597,1.597,109.69,0,0,0,3.007,3.007,466.44,150.37,2042,120.1,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.497,1,0.986,2.115,10,5,66.159,1.186,0.983,1.746,0,10,50,1.57,0.967,1.885,1.885,356.76,150.37,2293,134.9,1.595,1.595,153.75,9.93,-304,-17.9,3.007,3.007,510.51,160.3,2597,152.8,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.645,1,0.986,2.032,7.845,7.155,62.046,1.268,0.978,1.749,0,7.845,50,1.573,0.971,1.885,1.885,356.76,150.37,2234,131.4,1.595,1.595,144.33,7.25,-252,-14.8,3.007,3.007,501.09,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.511,1,0.986,1.96,6,9,58.783,1.336,0.971,1.748,0,6,50,1.57,0.968,1.885,1.885,356.76,150.37,2185,128.5,1.595,1.595,136.17,5.2,-200,-11.8,3.007,3.007,492.92,155.58,2385,140.3,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.125,1,0.986,1.882,4,11,55.536,1.407,0.96,1.742,0,4,50,1.562,0.959,1.885,1.885,356.76,150.37,2134,125.5,1.595,1.595,127.3,3.23,-139,-8.2,3.007,3.007,484.06,153.6,2273,133.7,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,77.518,1,0.986,1.802,2,13,52.605,1.474,0.945,1.733,0,2,50,1.55,0.945,1.885,1.885,356.76,150.37,2085,122.7,1.595,1.595,118.51,1.5,-72,-4.2,3.007,3.007,475.26,151.88,2157,126.9,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,76.721,1,0.986,1.719,0,15,50,1.534,0.926,1.719,0,0,50,1.534,0.926,1.885,1.885,356.76,150.37,2038,119.9,1.595,1.595,109.83,0,0,0,3.007,3.007,466.58,150.37,2038,119.9,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.538,9.635,4.988,97.864,1.537,0.991,2.312,15,5.365,79.73,1.886,0.987,2.312,15,15,78.512,1,0.987,2.116,10,5,66.167,1.187,0.984,1.747,0,10,50,1.57,0.968,1.886,1.886,356.76,150.37,2292,134.8,1.595,1.595,153.82,9.94,-304,-17.9,3.007,3.007,510.58,160.31,2596,152.7,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.538,9.635,4.988,97.864,1.537,0.991,2.312,15,5.365,79.73,1.886,0.987,2.312,15,15,78.66,1,0.987,2.033,7.845,7.155,62.052,1.268,0.979,1.75,0,7.845,50,1.573,0.972,1.886,1.886,356.76,150.37,2232,131.3,1.595,1.595,144.4,7.26,-252,-14.8,3.007,3.007,501.16,157.63,2484,146.1,17
